Model,Seed,Test_ROC_AUC,Test_PR_AUC,Test_Macro_F1,Val_ROC_AUC,Gate_Graph,Gate_Text,Gate_Desc,Gate_SEG,Gate_Entropy_Mean,Gate_Min_Mean,Stop_Epoch
ChebNet (TAME),429,0.8447463768115941,0.8817483570582318,0.7660818713450293,0.7071783937455579,nan,nan,nan,nan,nan,nan,50
ChebNet (TAME),922,0.8184782608695652,0.8551254338978902,0.7610384943628442,0.7114427860696517,nan,nan,nan,nan,nan,nan,58
ChebNet (TAME),979,0.8344202898550726,0.8839876170804793,0.7471988795518207,0.7082444918265813,nan,nan,nan,nan,nan,nan,40
ChebNet (TAME),445,0.7867753623188406,0.8305106282171062,0.6644591611479029,0.699182658137882,nan,nan,nan,nan,nan,nan,37
ChebNet (TAME),419,0.8108695652173913,0.8628584873427064,0.7322855981574312,0.7215707178393747,nan,nan,nan,nan,nan,nan,65
ChebNet (TAME),739,0.8199275362318841,0.874213267298359,0.7200736648250461,0.7254797441364605,nan,nan,nan,nan,nan,nan,38
ChebNet (TAME),148,0.8221014492753623,0.8665832694634796,0.7633346679122737,0.7162402274342573,nan,nan,nan,nan,nan,nan,35
ChebNet (TAME),315,0.8096014492753624,0.8581165462075102,0.6947791164658634,0.7133972992181947,nan,nan,nan,nan,nan,nan,42
ChebNet (TAME),156,0.8211956521739131,0.8792005602595152,0.733099209833187,0.7157071783937454,nan,nan,nan,nan,nan,nan,64
ChebNet (TAME),656,0.8168478260869564,0.8546971757284212,0.733099209833187,0.7082444918265813,nan,nan,nan,nan,nan,nan,32
ChebNet (TAME),169,0.827536231884058,0.8800020018286252,0.6973160173160173,0.7178393745557925,nan,nan,nan,nan,nan,nan,32
ChebNet (TAME),475,0.7969202898550725,0.8614166003809534,0.6104764800416974,0.7073560767590619,nan,nan,nan,nan,nan,nan,50
ChebNet (TAME),392,0.8264492753623187,0.8686996304229357,0.7424647761726413,0.7169509594882729,nan,nan,nan,nan,nan,nan,35
ChebNet (TAME),763,0.8398550724637682,0.8864404813266615,0.750874861572536,0.720682302771855,nan,nan,nan,nan,nan,nan,43
ChebNet (TAME),359,0.7994565217391304,0.8513603146295742,0.6769464324441552,0.7139303482587065,nan,nan,nan,nan,nan,nan,47
ChebNet (TAME),633,0.8115942028985508,0.8767874403132542,0.6764974156278504,0.7114427860696517,nan,nan,nan,nan,nan,nan,58
ChebNet (TAME),824,0.8052536231884058,0.8642185033752187,0.670995670995671,0.7240582800284293,nan,nan,nan,nan,nan,nan,59
ChebNet (TAME),183,0.8056159420289856,0.8571540167339757,0.7023887220989427,0.7014925373134329,nan,nan,nan,nan,nan,nan,43
ChebNet (TAME),830,0.8398550724637682,0.8811072643895186,0.7446507515473033,0.7030916844349681,nan,nan,nan,nan,nan,nan,29
ChebNet (TAME),963,0.8168478260869565,0.8562287292996734,0.7446507515473033,0.7151741293532339,nan,nan,nan,nan,nan,nan,38
ChebNet (TAME),212,0.8324275362318841,0.8821979851796478,0.7384282751621585,0.7098436389481166,nan,nan,nan,nan,nan,nan,31
ChebNet (TAME),886,0.8224637681159419,0.8759495548778502,0.7541850605358627,0.7276119402985075,nan,nan,nan,nan,nan,nan,52
ChebNet (TAME),846,0.8355072463768116,0.867978998766148,0.7535579174923437,0.6949182658137882,nan,nan,nan,nan,nan,nan,17
ChebNet (TAME),118,0.7913043478260869,0.8469191733122177,0.6305555555555555,0.7197938877043356,nan,nan,nan,nan,nan,nan,30
ChebNet (TAME),158,0.806159420289855,0.8514402923826123,0.6431924882629108,0.7110874200426439,nan,nan,nan,nan,nan,nan,49
ChebNet (TAME),771,0.8085144927536232,0.829769813347535,0.7424647761726413,0.73045486851457,nan,nan,nan,nan,nan,nan,40
ChebNet (TAME),772,0.8081521739130435,0.8618217415288718,0.6841558441558442,0.7112651030561478,nan,nan,nan,nan,nan,nan,30
ChebNet (TAME),184,0.8146739130434782,0.8661070944268837,0.6960528603721092,0.7022032693674485,nan,nan,nan,nan,nan,nan,35
ChebNet (TAME),722,0.7942028985507246,0.8518610958005645,0.6764974156278504,0.6958066808813078,nan,nan,nan,nan,nan,nan,39
ChebNet (TAME),140,0.8159420289855073,0.8695406477068548,0.6841558441558442,0.7000710732054015,nan,nan,nan,nan,nan,nan,61
ChebNet (TAME),239,0.8010869565217391,0.860841305596588,0.6837177041789493,0.7119758351101635,nan,nan,nan,nan,nan,nan,59
ChebNet (TAME),518,0.8338768115942029,0.8796370212434974,0.7446507515473033,0.7093105899076049,nan,nan,nan,nan,nan,nan,37
ChebNet (TAME),690,0.793659420289855,0.8538949812662482,0.6897016027450811,0.7006041222459133,nan,nan,nan,nan,nan,nan,45
ChebNet (TAME),480,0.8117753623188406,0.8696351656370783,0.6842105263157895,0.7290334044065387,nan,nan,nan,nan,nan,nan,40
ChebNet (TAME),507,0.8041666666666667,0.853591448449658,0.7092679533994088,0.7059346126510306,nan,nan,nan,nan,nan,nan,52
ChebNet (TAME),287,0.8407608695652173,0.8811793155972973,0.7768584011744295,0.7162402274342573,nan,nan,nan,nan,nan,nan,56
ChebNet (TAME),875,0.8146739130434782,0.8319021093013259,0.7521739130434782,0.6927860696517413,nan,nan,nan,nan,nan,nan,36
ChebNet (TAME),720,0.8208333333333333,0.8564223842236314,0.7455357142857143,0.6956289978678039,nan,nan,nan,nan,nan,nan,17
