Model,Seed,Test_ROC_AUC,Test_PR_AUC,Test_Macro_F1,Val_ROC_AUC,Gate_Graph,Gate_Text,Gate_Desc,Gate_SEG,Gate_Entropy_Mean,Gate_Min_Mean,Stop_Epoch
PyG ChebNet (TAME HPs),429,0.7822463768115941,0.8315618599973735,0.6901322923443938,0.6975835110163469,nan,nan,nan,nan,nan,nan,75
PyG ChebNet (TAME HPs),922,0.7523550724637681,0.8229181134214222,0.6292682926829268,0.6808813077469794,nan,nan,nan,nan,nan,nan,66
PyG ChebNet (TAME HPs),979,0.8431159420289857,0.8791867016610305,0.7431431171194594,0.6860341151385928,nan,nan,nan,nan,nan,nan,120
PyG ChebNet (TAME HPs),445,0.6831521739130436,0.769708878464104,0.5855083755356447,0.6536958066808815,nan,nan,nan,nan,nan,nan,35
PyG ChebNet (TAME HPs),419,0.5898550724637681,0.6849398478150115,0.38167025604211535,0.5943496801705757,nan,nan,nan,nan,nan,nan,4
PyG ChebNet (TAME HPs),739,0.6894927536231885,0.7643082577708014,0.597831273042724,0.6369936034115138,nan,nan,nan,nan,nan,nan,3
PyG ChebNet (TAME HPs),148,0.7298913043478261,0.7959275209843921,0.656611295681063,0.6869225302061124,nan,nan,nan,nan,nan,nan,47
PyG ChebNet (TAME HPs),315,0.8201086956521738,0.8535154866009115,0.7547852626989318,0.6663113006396588,nan,nan,nan,nan,nan,nan,112
PyG ChebNet (TAME HPs),156,0.6059782608695652,0.6734939278235179,0.32129683556590954,0.6197583511016347,nan,nan,nan,nan,nan,nan,12
PyG ChebNet (TAME HPs),656,0.7702898550724637,0.826837836789233,0.6673669467787114,0.6883439943141436,nan,nan,nan,nan,nan,nan,71
PyG ChebNet (TAME HPs),169,0.7083333333333334,0.7943910769111036,0.5462686567164179,0.6616915422885571,nan,nan,nan,nan,nan,nan,21
PyG ChebNet (TAME HPs),475,0.7469202898550724,0.80527898964763,0.6837177041789493,0.6958066808813077,nan,nan,nan,nan,nan,nan,61
PyG ChebNet (TAME HPs),392,0.7865942028985508,0.8448394737888667,0.6637605725439166,0.6947405828002843,nan,nan,nan,nan,nan,nan,98
PyG ChebNet (TAME HPs),763,0.7945652173913044,0.840089342061584,0.6906689759688245,0.6664889836531628,nan,nan,nan,nan,nan,nan,113
PyG ChebNet (TAME HPs),359,0.6336956521739131,0.7625576771839995,0.4656119534168314,0.6149609097370291,nan,nan,nan,nan,nan,nan,1
PyG ChebNet (TAME HPs),633,0.8072463768115942,0.8503985692187266,0.7167988214394038,0.6842572850035537,nan,nan,nan,nan,nan,nan,116
PyG ChebNet (TAME HPs),824,0.8322463768115942,0.8572984777018658,0.7611314824515453,0.6839019189765458,nan,nan,nan,nan,nan,nan,90
PyG ChebNet (TAME HPs),183,0.7826086956521738,0.8560668321590248,0.6284267504801816,0.6831911869225302,nan,nan,nan,nan,nan,nan,79
PyG ChebNet (TAME HPs),830,0.7307971014492753,0.8110401546652883,0.6673669467787114,0.6252665245202559,nan,nan,nan,nan,nan,nan,6
PyG ChebNet (TAME HPs),963,0.8083333333333333,0.8631611955336851,0.6960528603721092,0.7132196162046909,nan,nan,nan,nan,nan,nan,90
PyG ChebNet (TAME HPs),212,0.8090579710144927,0.8372563186345534,0.6764974156278504,0.7014925373134329,nan,nan,nan,nan,nan,nan,112
PyG ChebNet (TAME HPs),886,0.8260869565217391,0.8510158031400921,0.670995670995671,0.6886993603411514,nan,nan,nan,nan,nan,nan,114
PyG ChebNet (TAME HPs),846,0.7922101449275363,0.856293350503978,0.7038319982680235,0.6780383795309167,nan,nan,nan,nan,nan,nan,68
PyG ChebNet (TAME HPs),118,0.758695652173913,0.8172286256779857,0.6786469344608879,0.6860341151385928,nan,nan,nan,nan,nan,nan,52
PyG ChebNet (TAME HPs),158,0.793840579710145,0.8563124483363771,0.6010498687664042,0.6730632551528074,nan,nan,nan,nan,nan,nan,92
PyG ChebNet (TAME HPs),771,0.792391304347826,0.8441690885010311,0.6842105263157895,0.6700426439232409,nan,nan,nan,nan,nan,nan,93
PyG ChebNet (TAME HPs),772,0.7664855072463768,0.83646705088147,0.6431924882629108,0.6814143567874912,nan,nan,nan,nan,nan,nan,74
PyG ChebNet (TAME HPs),184,0.8023550724637681,0.8479360689719811,0.6906689759688245,0.6833688699360342,nan,nan,nan,nan,nan,nan,118
PyG ChebNet (TAME HPs),722,0.7974637681159421,0.8383478884965662,0.7029057898623117,0.6698649609097371,nan,nan,nan,nan,nan,nan,100
PyG ChebNet (TAME HPs),140,0.6239130434782608,0.7103345880925812,0.5947375322348005,0.6648898365316276,nan,nan,nan,nan,nan,nan,7
PyG ChebNet (TAME HPs),239,0.7097826086956521,0.7864508361300955,0.5536269997808458,0.6657782515991472,nan,nan,nan,nan,nan,nan,44
PyG ChebNet (TAME HPs),518,0.743840579710145,0.8123674934605978,0.6772823779193206,0.6785714285714286,nan,nan,nan,nan,nan,nan,96
PyG ChebNet (TAME HPs),690,0.7057971014492753,0.7958743359811469,0.5469549357177811,0.6654228855721394,nan,nan,nan,nan,nan,nan,27
PyG ChebNet (TAME HPs),480,0.7255434782608695,0.8001690746427618,0.6166456494325347,0.6902985074626866,nan,nan,nan,nan,nan,nan,62
PyG ChebNet (TAME HPs),507,0.8016304347826088,0.8346246331037925,0.7126148705096074,0.6766169154228855,nan,nan,nan,nan,nan,nan,85
PyG ChebNet (TAME HPs),287,0.7967391304347826,0.8417673542967906,0.6576576576576576,0.6902985074626865,nan,nan,nan,nan,nan,nan,79
PyG ChebNet (TAME HPs),875,0.8177536231884058,0.8608148328605527,0.7420702258190837,0.6792821606254442,nan,nan,nan,nan,nan,nan,117
PyG ChebNet (TAME HPs),720,0.7940217391304348,0.8406645034391248,0.6920366455250175,0.660092395167022,nan,nan,nan,nan,nan,nan,87
PyG ChebNet (TAME HPs),596,0.761231884057971,0.8094246988615221,0.6904545257593483,0.6826581378820185,nan,nan,nan,nan,nan,nan,57
