model,seed,rho_tanimoto_cos,rho_deltaY_l2
TAME_VANILLA,11,0.17890082657579198,0.21091986349570735
TAME_VANILLA,22,0.14947459595414106,0.22055623300135851
TAME_VANILLA,33,0.20072517390207664,0.1981864166542092
TAME_VANILLA,44,0.1821815205311479,0.21874389262461416
TAME_VANILLA,55,0.16109198176121278,0.18012497549129214
TAME_PT_S1,11,0.20998523237143138,0.29931512549449624
TAME_PT_S1,22,0.20293519528776593,0.3407388902119861
TAME_PT_S1,33,0.16104257215784235,0.27749286483951324
TAME_PT_S1,44,0.12594687060146922,0.2646976659715839
TAME_PT_S1,55,0.21155566956318161,0.3067910690319596
TAME_FUSION_VANILLA,11,0.171510020161947,0.19936923381521227
TAME_FUSION_VANILLA,22,0.15940490953666273,0.19958797181165022
TAME_FUSION_VANILLA,33,0.15407788726522784,0.18805360928901296
TAME_FUSION_VANILLA,44,0.14833434935004078,0.1924649571618211
TAME_FUSION_VANILLA,55,0.1660008429310627,0.21170958399740786
TAME_FUSION_PT_S1,11,0.19749901805154052,0.2741291956350834
TAME_FUSION_PT_S1,22,0.16200498859091353,0.21868908967532608
TAME_FUSION_PT_S1,33,0.2309596967372803,0.24867367316923036
TAME_FUSION_PT_S1,44,0.13690504853741411,0.23915807020120344
TAME_FUSION_PT_S1,55,0.25262968670688574,0.29963899460498633
