model_key,seed,cka_fused_graph,cka_fused_textproj
TAME_FUSION_VANILLA,11,0.08586424192353165,0.31051405028480406
TAME_FUSION_VANILLA,22,0.10977383480748971,0.30477168549977773
TAME_FUSION_VANILLA,33,0.030164346708871692,0.36516040413506634
TAME_FUSION_VANILLA,44,0.050484951938123364,0.2859589475731185
TAME_FUSION_VANILLA,55,0.05751768400902998,0.3742056405377901
TAME_FUSION_PT_S1,11,0.4451751818301907,0.2372945154851413
TAME_FUSION_PT_S1,22,0.4668358705463202,0.16788230511233787
TAME_FUSION_PT_S1,33,0.21992982960643823,0.17695267813062265
TAME_FUSION_PT_S1,44,0.4691735079710773,0.27797552387580343
TAME_FUSION_PT_S1,55,0.2531843467071772,0.35284087705351175
TAME_VANILLA,11,0.09505314959972967,0.35641302201095726
TAME_VANILLA,22,0.024736033368742128,0.4548786209628726
TAME_VANILLA,33,0.10116470422183933,0.5081705532958033
TAME_VANILLA,44,0.1940359743172442,0.5170191737580307
TAME_VANILLA,55,0.20298842193779593,0.2857652659993711
TAME_PT_S1,11,0.29776467526053535,0.38842744176730104
TAME_PT_S1,22,0.34177214709953857,0.17143921348278301
TAME_PT_S1,33,0.6409579212220853,0.32853871358192477
TAME_PT_S1,44,0.4013127256296537,0.2438269882272764
TAME_PT_S1,55,0.6305249615091926,0.12279206470263775
